"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","7"
"Cow Dung","4241"
"Electricity Fuel","0"
"KeroseneFuel","102"
"LP Gas","41"
"Not Sated about Fuel","22"
"OthersFuel","8"
"Wood/FireWood","1276"
"Total","5697"
