"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","20"
"Cow Dung","10"
"Electricity Fuel","2"
"KeroseneFuel","2"
"LP Gas","3"
"Not Sated about Fuel","12"
"OthersFuel","1"
"Wood/FireWood","4671"
"Total","4721"
