"Population by Caste Ethinicity","Number"
"Badi",""
"Female","48"
"Male","46"
"","94"
"Brahman - Hill",""
"Female","367"
"Male","373"
"","740"
"Chamar/ Harijan/ Ram",""
"Female","6"
"Male","6"
"","12"
"Chhetri",""
"Female","4100"
"Male","4112"
"","8212"
"Dalit Others",""
"Female","15"
"Male","15"
"","30"
"Damai/Dholi",""
"Female","720"
"Male","686"
"","1406"
"Gurung",""
"Female","12"
"Male","14"
"","26"
"Kami",""
"Female","3093"
"Male","3067"
"","6160"
"Magar",""
"Female","2241"
"Male","2151"
"","4392"
"Others",""
"Female","17"
"Male","22"
"","39"
"Rai",""
"Female","7"
"Male","11"
"","18"
"Sanyasi/Dasnami",""
"Female","199"
"Male","183"
"","382"
"Sarki",""
"Female","104"
"Male","119"
"","223"
"Terai Others",""
"Female","7"
"Male","4"
"","11"
"Thakuri",""
"Female","1913"
"Male","1932"
"","3845"
