"Population by Five Years Age Group","Number"
"0-4",""
"Female","2135"
"Male","2222"
"10-14",""
"Female","2886"
"Male","2919"
"15-19",""
"Female","2516"
"Male","1975"
"20-24",""
"Female","2072"
"Male","1316"
"25-29",""
"Female","1803"
"Male","1151"
"30-34",""
"Female","1434"
"Male","934"
"35-39",""
"Female","1327"
"Male","966"
"40-44",""
"Female","1056"
"Male","835"
"45-49",""
"Female","818"
"Male","679"
"50-54",""
"Female","631"
"Male","631"
"55-59",""
"Female","524"
"Male","514"
"5-9",""
"Female","2459"
"Male","2700"
"60-64",""
"Female","621"
"Male","485"
"65-69",""
"Female","346"
"Male","330"
"70-74",""
"Female","252"
"Male","245"
"75+",""
"Female","243"
"Male","265"
