"Industries Types","Number"
"Accommodation and food","16011"
"Administrative and support service activity","428"
"Agriculture, forestry and fishing","4067"
"Art, entertainment and recreation","466"
"Construction","272"
"Education","4765"
"Electricty gas and water","236"
"Financial intermediation and insurance","2262"
"Health and social work","3397"
"Information and communications","281"
"Manufacturing","10928"
"Mining and quarrying","85"
"Other service activities","5329"
"Professional,scientific and techniqual activity","797"
"Real state, renting and business activities","10"
"Transport and storage","366"
"Water supply, wet management","407"
"Wholesale and retail trade","50577"
"Total","100684"
