"Industries Employment","Number"
"Accommodation,  food",""
"Female","21194"
"Male","24378"
"Administrative, support service",""
"Female","397"
"Male","1432"
"Agriculture, forestry and  fishing",""
"Female","4920"
"Male","7972"
"Arts, entertainment, recreation",""
"Female","419"
"Male","1395"
"Construction",""
"Female","151"
"Male","1392"
"Education",""
"Female","28818"
"Male","32236"
"Electricity, gas and water",""
"Female","165"
"Male","1848"
"Financial intermediation and insurance",""
"Female","14199"
"Male","13695"
"Health, social work",""
"Female","10822"
"Male","6393"
"Information and communication",""
"Female","630"
"Male","1726"
"Manufacturing",""
"Female","11141"
"Male","26857"
"Other service activities",""
"Female","5994"
"Male","8259"
"Professional, scientific, techniqual activity",""
"Female","603"
"Male","1436"
"Real estate, renting and business activity",""
"Female","26"
"Male","52"
"Transportation,  storage",""
"Female","493"
"Male","1350"
"Water supply, wet management",""
"Female","237"
"Male","1150"
"Wholesale, retail trade",""
"Female","46840"
"Male","52653"
