"Agricultural land use area","Hectare"
"Area under arable land","502142.00"
"Area under meadows and pasture","2012.00"
"Area under permanent crops","16572.00"
"Area under Temporary crops","497932.00"
"Area under temporary fallow","2949.00"
"Area under temporary meadows","1262.00"
"Other land","17288.00"
"Ponds","1324.00"
"Woodland and forest","1930.00"
"Total","1043411.00"
