"Number of households by type of outer wall","Number"
"BambooWall","1103"
"Cement Bonded Bricks/Stone Wall","753"
"Mud Bonded Bricks/Stone Wall","2096"
"Not Stated about Wall","35"
"Other Type Wall","1841"
"Unbaked Bricks","341"
"Wood/Planks","421"
"Total","6590"
