"Population by Five Years Age Group","Number"
"0-4",""
"Female","853"
"Male","882"
"10-14",""
"Female","1466"
"Male","1476"
"15-19",""
"Female","1366"
"Male","1209"
"20-24",""
"Female","971"
"Male","622"
"25-29",""
"Female","774"
"Male","511"
"30-34",""
"Female","568"
"Male","392"
"35-39",""
"Female","628"
"Male","384"
"40-44",""
"Female","595"
"Male","457"
"45-49",""
"Female","484"
"Male","424"
"50-54",""
"Female","450"
"Male","413"
"55-59",""
"Female","360"
"Male","341"
"5-9",""
"Female","1073"
"Male","1117"
"60-64",""
"Female","378"
"Male","327"
"65-69",""
"Female","252"
"Male","237"
"70-74",""
"Female","254"
"Male","214"
"75+",""
"Female","302"
"Male","294"
