"Agricultural land use area","Hectare"
"Area under arable land","3329.00"
"Area under meadows and pasture","132.00"
"Area under permanent crops","134.00"
"Area under Temporary crops","3178.00"
"Area under temporary fallow","131.00"
"Area under temporary meadows","19.00"
"Other land","126.00"
"Ponds","0.00"
"Woodland and forest","12.00"
"Total","7061.00"
