"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1101"
"Male","1072"
"","2173"
"Chhetri",""
"Female","214"
"Male","216"
"","430"
"Damai/Dholi",""
"Female","76"
"Male","74"
"","150"
"Gharti/Bhujel",""
"Female","20"
"Male","17"
"","37"
"Gurung",""
"Female","1702"
"Male","1460"
"","3162"
"Kami",""
"Female","116"
"Male","100"
"","216"
"Kewat",""
"Female","6"
"Male","10"
"","16"
"Limbu",""
"Female","1018"
"Male","889"
"","1907"
"Magar",""
"Female","257"
"Male","244"
"","501"
"Newar",""
"Female","21"
"Male","24"
"","45"
"Others",""
"Female","21"
"Male","26"
"","47"
"Rai",""
"Female","3153"
"Male","3108"
"","6261"
"Sherpa",""
"Female","334"
"Male","344"
"","678"
"Sunuwar",""
"Female","144"
"Male","119"
"","263"
"Tamang",""
"Female","84"
"Male","78"
"","162"
"Undefined Others",""
"Female","8"
"Male","9"
"","17"
