"Agricultural land use area","Hectare"
"Area under arable land","15008.26"
"Area under meadows and pasture","91.34"
"Area under permanent crops","269.81"
"Area under Temporary crops","14517.93"
"Area under temporary fallow","444.54"
"Area under temporary meadows","45.79"
"Other land","658.37"
"Ponds","0.00"
"Woodland and forest","354.69"
