"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","22"
"Male","61"
"","83"
"Darai",""
"Female","8"
"Male","9"
"","17"
"Gurung",""
"Female","1965"
"Male","1450"
"","3415"
"Hindi",""
"Female","7"
"Male","33"
"","40"
"Kumal",""
"Female","294"
"Male","211"
"","505"
"Magar",""
"Female","300"
"Male","213"
"","513"
"Maithili",""
"Female","4"
"Male","18"
"","22"
"Musalman",""
"Female","15"
"Male","7"
"","22"
"Nepali",""
"Female","21384"
"Male","15983"
"","37367"
"Newar",""
"Female","936"
"Male","736"
"","1672"
"Not Reported",""
"Female","49"
"Male","34"
"","83"
"Others",""
"Female","22"
"Male","25"
"","47"
"Rai",""
"Female","12"
"Male","15"
"","27"
"Tamang",""
"Female","735"
"Male","598"
"","1333"
"Urdu",""
"Female","378"
"Male","268"
"","646"
