"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2"
"Male","33"
"","35"
"Chhetri",""
"Female","1"
"Male","10"
"","11"
"Damai/Dholi",""
"Female","13"
"Male","19"
"","32"
"Ghale",""
"Female","74"
"Male","62"
"","136"
"Gurung",""
"Female","669"
"Male","639"
"","1308"
"Kami",""
"Female","26"
"Male","33"
"","59"
"Magar",""
"Female","16"
"Male","7"
"","23"
"Newar",""
"Female","10"
"Male","15"
"","25"
"Others",""
"Female","5"
"Male","8"
"","13"
"Rai",""
"Female","5"
"Male","7"
"","12"
"Tamang",""
"Female","148"
"Male","101"
"","249"
"Thakali",""
"Female","14"
"Male","21"
"","35"
