"Population by Mother tongue","Number"
"Bangla",""
"Female","6"
"Male","9"
"Bhojpuri",""
"Female","18"
"Male","57"
"Bhujel",""
"Female","74"
"Male","78"
"Gurung",""
"Female","2867"
"Male","2136"
"Hindi",""
"Female","21"
"Male","83"
"Magar",""
"Female","1187"
"Male","942"
"Maithili",""
"Female","5"
"Male","18"
"Nepali",""
"Female","6178"
"Male","5205"
"Newar",""
"Female","457"
"Male","399"
"Not Reported",""
"Female","46"
"Male","25"
"Others",""
"Female","15"
"Male","12"
"Rai",""
"Female","6"
"Male","12"
"Sign Language",""
"Female","8"
"Male","10"
"Tamang",""
"Female","45"
"Male","42"
"Tharu",""
"Female","8"
"Male","7"
"Urdu",""
"Female","24"
"Male","13"
