"Proportion of School having Access to Facilities","Percentage %"
"Climate change education","5.00"
"Computer Lab in School","3.00"
"Drinking Water in School","70.00"
"Electricity in School","60.00"
"Internet Facilities in School","18.00"
"Library in School","2.00"
"Play Groud in School","60.00"
"Ramps facility","10.00"
"Science Lab in School","2.00"
"Seperate Girls Toilet in School","5.00"
"Toilet Facility in School","85.00"
