"Drop Out Rate","Percentage %"
"Basic Level Drop Out Rate",""
"Female","7.00"
"Male","8.00"
"Total","7.50"
"Secondary Level Drop Out Rate",""
"Female","7.00"
"Male","8.00"
"Total","7.50"
