"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","22"
"Male","33"
"Brahman - Hill",""
"Female","49"
"Male","32"
"Chhantyal/Chhantel",""
"Female","58"
"Male","48"
"Chhetri",""
"Female","412"
"Male","403"
"Dalit Others",""
"Female","19"
"Male","21"
"Damai/Dholi",""
"Female","240"
"Male","211"
"Gurung",""
"Female","152"
"Male","129"
"Kami",""
"Female","2280"
"Male","2087"
"Kurmi",""
"Female","28"
"Male","28"
"Magar",""
"Female","5493"
"Male","4905"
"Newar",""
"Female","19"
"Male","20"
"Others",""
"Female","24"
"Male","10"
"Sanyasi/Dasnami",""
"Female","16"
"Male","19"
"Terai Others",""
"Female","9"
"Male","11"
"Thakali",""
"Female","44"
"Male","37"
"Thakuri",""
"Female","555"
"Male","518"
