"Industries Types","Number"
"Accommodation and food","432"
"Administrative and support service activity","10"
"Agriculture, forestry and fishing","106"
"Art, entertainment and recreation","16"
"Construction","3"
"Education","199"
"Electricty gas and water","13"
"Financial intermediation and insurance","76"
"Health and social work","103"
"Information and communications","10"
"Manufacturing","141"
"Mining and quarrying","1"
"Other service activities","177"
"Professional,scientific and techniqual activity","6"
"Real state, renting and business activities","0"
"Transport and storage","7"
"Water supply, wet management","3"
"Wholesale and retail trade","1775"
"Total","3078"
