"Population by Five Years Age Group","Number"
"0-4",""
"Female","1455"
"Male","1542"
"10-14",""
"Female","2299"
"Male","2401"
"15-19",""
"Female","2471"
"Male","2332"
"20-24",""
"Female","2244"
"Male","1557"
"25-29",""
"Female","2055"
"Male","1303"
"30-34",""
"Female","1727"
"Male","1235"
"35-39",""
"Female","1538"
"Male","1208"
"40-44",""
"Female","1386"
"Male","1271"
"45-49",""
"Female","1148"
"Male","1031"
"50-54",""
"Female","966"
"Male","1001"
"55-59",""
"Female","769"
"Male","777"
"5-9",""
"Female","1950"
"Male","2023"
"60-64",""
"Female","660"
"Male","668"
"65-69",""
"Female","490"
"Male","482"
"70-74",""
"Female","337"
"Male","381"
"75+",""
"Female","448"
"Male","469"
