"Population by Five Years Age Group","Number"
"0-4",""
"Female","1511"
"Male","1547"
"10-14",""
"Female","1596"
"Male","1702"
"15-19",""
"Female","1190"
"Male","1274"
"20-24",""
"Female","960"
"Male","820"
"25-29",""
"Female","807"
"Male","718"
"30-34",""
"Female","654"
"Male","563"
"35-39",""
"Female","629"
"Male","504"
"40-44",""
"Female","482"
"Male","465"
"45-49",""
"Female","410"
"Male","354"
"50-54",""
"Female","286"
"Male","305"
"55-59",""
"Female","241"
"Male","261"
"5-9",""
"Female","1677"
"Male","1757"
"60-64",""
"Female","263"
"Male","255"
"65-69",""
"Female","205"
"Male","180"
"70-74",""
"Female","139"
"Male","124"
"75+",""
"Female","89"
"Male","85"
