"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","40"
"Male","58"
"Bangali",""
"Female","107"
"Male","128"
"Baraee",""
"Female","692"
"Male","689"
"Brahman - Hill",""
"Female","710"
"Male","702"
"Brahman - Tarai",""
"Female","203"
"Male","240"
"Chamar/ Harijan/ Ram",""
"Female","1382"
"Male","1465"
"Chhetri",""
"Female","545"
"Male","520"
"Damai/Dholi",""
"Female","91"
"Male","92"
"Dhandi",""
"Female","52"
"Male","48"
"Dhankar/ Dharikar",""
"Female","58"
"Male","61"
"Dhobi",""
"Female","1035"
"Male","1036"
"Dhunia",""
"Female","23"
"Male","32"
"Dusadh/ Pasawan/ Pasi",""
"Female","370"
"Male","365"
"Gaderi/Bhedihar",""
"Female","308"
"Male","328"
"Gurung",""
"Female","56"
"Male","46"
"Hajam/Thakur",""
"Female","369"
"Male","400"
"Halwai",""
"Female","120"
"Male","130"
"Kahar",""
"Female","1231"
"Male","1275"
"Kalwar",""
"Female","118"
"Male","118"
"Kami",""
"Female","306"
"Male","277"
"Kathabaniyan",""
"Female","485"
"Male","505"
"Kayastha",""
"Female","17"
"Male","20"
"Kewat",""
"Female","1091"
"Male","1171"
"Koiri/Kushwaha",""
"Female","285"
"Male","256"
"Kurmi",""
"Female","606"
"Male","644"
"Lodh",""
"Female","2130"
"Male","2226"
"Lohar",""
"Female","200"
"Male","216"
"Magar",""
"Female","824"
"Male","813"
"Majhi",""
"Female","175"
"Male","175"
"Mali",""
"Female","13"
"Male","9"
"Mallaha",""
"Female","1163"
"Male","1225"
"Marwadi",""
"Female","99"
"Male","98"
"Musalman",""
"Female","1884"
"Male","1823"
"Newar",""
"Female","88"
"Male","84"
"Others",""
"Female","40"
"Male","30"
"Pattharkatta/ Kushwadiya",""
"Female","7"
"Male","15"
"Rai",""
"Female","10"
"Male","11"
"Rajbhar",""
"Female","92"
"Male","88"
"Rajput",""
"Female","114"
"Male","96"
"Sanyasi/Dasnami",""
"Female","70"
"Male","75"
"Satar/ Santhal",""
"Female","8"
"Male","4"
"Tamang",""
"Female","9"
"Male","6"
"Teli",""
"Female","464"
"Male","508"
"Terai Others",""
"Female","234"
"Male","269"
"Thakuri",""
"Female","56"
"Male","51"
"Tharu",""
"Female","1854"
"Male","1768"
"Undefined Others",""
"Female","9"
"Male","10"
"Yadav",""
"Female","3526"
"Male","3561"
"Yakkha",""
"Female","9"
"Male","11"
