"Number of households by type of outer wall","Number"
"BambooWall","358"
"Cement Bonded Bricks/Stone Wall","3961"
"Mud Bonded Bricks/Stone Wall","1874"
"Not stated","56"
"Others","401"
"Unbaked Bricks","87"
"Wood/Planks","73"
"Total","6810"
