"Population by Caste/Ethinicity","Number"
"Bantaba",""
"Female","10"
"Male","6"
"Brahman - Hill",""
"Female","146"
"Male","142"
"Chhetri",""
"Female","2146"
"Male","1851"
"Damai/Dholi",""
"Female","292"
"Male","225"
"Gharti/Bhujel",""
"Female","117"
"Male","128"
"Kami",""
"Female","424"
"Male","296"
"Magar",""
"Female","133"
"Male","135"
"Majhi",""
"Female","16"
"Male","15"
"Newar",""
"Female","289"
"Male","241"
"Others",""
"Female","24"
"Male","26"
"Rai",""
"Female","6793"
"Male","5880"
"Sarki",""
"Female","301"
"Male","288"
"Tamang",""
"Female","210"
"Male","219"
"Tharu",""
"Female","7"
"Male","6"
"Undefined Others",""
"Female","8"
"Male","8"
"Yadav",""
"Female","6"
"Male","16"
