"Population by Five Years Age Group","Number"
"0-4",""
"Female","925"
"Male","945"
"10-14",""
"Female","1319"
"Male","1277"
"15-19",""
"Female","1301"
"Male","1193"
"20-24",""
"Female","904"
"Male","623"
"25-29",""
"Female","731"
"Male","473"
"30-34",""
"Female","588"
"Male","400"
"35-39",""
"Female","626"
"Male","445"
"40-44",""
"Female","648"
"Male","492"
"45-49",""
"Female","571"
"Male","547"
"50-54",""
"Female","516"
"Male","485"
"55-59",""
"Female","433"
"Male","386"
"5-9",""
"Female","1192"
"Male","1210"
"60-64",""
"Female","405"
"Male","360"
"65-69",""
"Female","284"
"Male","295"
"70-74",""
"Female","192"
"Male","226"
"75+",""
"Female","289"
"Male","262"
