"Population by Mother tongue","Number"
"Bahing",""
"Female","14"
"Male","14"
"Bantawa",""
"Female","5974"
"Male","5113"
"Chamling",""
"Female","207"
"Male","210"
"Khaling",""
"Female","35"
"Male","36"
"Kulung",""
"Female","21"
"Male","19"
"Magar",""
"Female","96"
"Male","80"
"Maithili",""
"Female","8"
"Male","30"
"Nepali",""
"Female","3796"
"Male","3258"
"Newar",""
"Female","12"
"Male","15"
"Not Reported",""
"Female","29"
"Male","19"
"Others",""
"Female","29"
"Male","28"
"Rai",""
"Female","396"
"Male","355"
"Tamang",""
"Female","196"
"Male","203"
"Tharu",""
"Female","7"
"Male","6"
"Thulung",""
"Female","102"
"Male","96"
