"Number of households by type of outer wall","Number"
"BambooWall","6963"
"Cement Bonded Bricks/Stone Wall","1134"
"Mud Bonded Bricks/Stone Wall","252"
"Not Stated about Wall","31"
"Other Type Wall","18"
"Unbaked Bricks","5"
"Wood/Planks","140"
"Total","8543"
