"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","14"
"Cow Dung","6171"
"Electricity Fuel","7"
"KeroseneFuel","159"
"LP Gas","108"
"Not Sated about Fuel","29"
"OthersFuel","10"
"Wood/FireWood","2045"
"Total","8543"
