"Population by Five Years Age Group","Number"
"0-4",""
"Female","692"
"Male","752"
"10-14",""
"Female","1131"
"Male","1115"
"15-19",""
"Female","1012"
"Male","928"
"20-24",""
"Female","635"
"Male","537"
"25-29",""
"Female","523"
"Male","422"
"30-34",""
"Female","392"
"Male","355"
"35-39",""
"Female","373"
"Male","324"
"40-44",""
"Female","450"
"Male","404"
"45-49",""
"Female","362"
"Male","352"
"50-54",""
"Female","320"
"Male","329"
"55-59",""
"Female","243"
"Male","265"
"5-9",""
"Female","935"
"Male","1013"
"60-64",""
"Female","250"
"Male","212"
"65-69",""
"Female","198"
"Male","151"
"70-74",""
"Female","148"
"Male","137"
"75+",""
"Female","176"
"Male","155"
