"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","247"
"Male","219"
"Chhetri",""
"Female","1089"
"Male","1031"
"Dalit Others",""
"Female","17"
"Male","13"
"Damai/Dholi",""
"Female","175"
"Male","153"
"Gharti/Bhujel",""
"Female","178"
"Male","169"
"Gurung",""
"Female","136"
"Male","124"
"Jirel",""
"Female","8"
"Male","5"
"Kami",""
"Female","277"
"Male","250"
"Kanu",""
"Female","383"
"Male","362"
"Magar",""
"Female","31"
"Male","34"
"Newar",""
"Female","698"
"Male","682"
"Others",""
"Female","24"
"Male","32"
"Sarki",""
"Female","61"
"Male","61"
"Sherpa",""
"Female","2077"
"Male","1919"
"Sunuwar",""
"Female","1004"
"Male","926"
"Tamang",""
"Female","1428"
"Male","1293"
