"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1217"
"Male","970"
"Chhetri",""
"Female","6492"
"Male","4871"
"Damai/Dholi",""
"Female","597"
"Male","504"
"Hajam/Thakur",""
"Female","17"
"Male","12"
"Kami",""
"Female","1924"
"Male","1424"
"Lohar",""
"Female","664"
"Male","489"
"Magar",""
"Female","9"
"Male","28"
"Newar",""
"Female","24"
"Male","29"
"Others",""
"Female","31"
"Male","16"
"Sanyasi/Dasnami",""
"Female","6"
"Male","6"
"Sarki",""
"Female","253"
"Male","178"
"Thakuri",""
"Female","116"
"Male","80"
