"Population by Five Years Age Group","Number"
"0-4",""
"Female","1255"
"Male","1293"
"10-14",""
"Female","1614"
"Male","1533"
"15-19",""
"Female","1196"
"Male","845"
"20-24",""
"Female","999"
"Male","512"
"25-29",""
"Female","857"
"Male","361"
"30-34",""
"Female","694"
"Male","394"
"35-39",""
"Female","708"
"Male","358"
"40-44",""
"Female","575"
"Male","348"
"45-49",""
"Female","450"
"Male","322"
"50-54",""
"Female","320"
"Male","308"
"55-59",""
"Female","311"
"Male","255"
"5-9",""
"Female","1327"
"Male","1414"
"60-64",""
"Female","430"
"Male","249"
"65-69",""
"Female","270"
"Male","188"
"70-74",""
"Female","184"
"Male","125"
"75+",""
"Female","164"
"Male","126"
