"Population by Five Years Age Group","Number"
"0-4",""
"Female","615"
"Male","683"
"10-14",""
"Female","637"
"Male","668"
"15-19",""
"Female","450"
"Male","449"
"20-24",""
"Female","324"
"Male","311"
"25-29",""
"Female","290"
"Male","273"
"30-34",""
"Female","264"
"Male","220"
"35-39",""
"Female","260"
"Male","261"
"40-44",""
"Female","200"
"Male","232"
"45-49",""
"Female","161"
"Male","194"
"50-54",""
"Female","172"
"Male","168"
"55-59",""
"Female","113"
"Male","158"
"5-9",""
"Female","705"
"Male","660"
"60-64",""
"Female","141"
"Male","157"
"65-69",""
"Female","92"
"Male","74"
"70-74",""
"Female","87"
"Male","73"
"75+",""
"Female","78"
"Male","59"
