"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","18"
"Male","28"
"Bhote",""
"Female","154"
"Male","140"
"Brahman - Hill",""
"Female","570"
"Male","564"
"Chhetri",""
"Female","2626"
"Male","2672"
"Dalit Others",""
"Female","60"
"Male","60"
"Damai/Dholi",""
"Female","110"
"Male","98"
"Kami",""
"Female","119"
"Male","131"
"Lohar",""
"Female","179"
"Male","148"
"Others",""
"Female","7"
"Male","15"
"Sanyasi/Dasnami",""
"Female","9"
"Male","4"
"Sarki",""
"Female","411"
"Male","458"
"Tamang",""
"Female","38"
"Male","38"
"Teli",""
"Female","29"
"Male","27"
"Terai Others",""
"Female","11"
"Male","6"
"Thakuri",""
"Female","248"
"Male","236"
