"Population by Five Years Age Group","Number"
"0-4",""
"Female","1439"
"Male","1559"
"10-14",""
"Female","2467"
"Male","2404"
"15-19",""
"Female","2094"
"Male","2090"
"20-24",""
"Female","1867"
"Male","1433"
"25-29",""
"Female","1574"
"Male","1130"
"30-34",""
"Female","1212"
"Male","922"
"35-39",""
"Female","1113"
"Male","912"
"40-44",""
"Female","982"
"Male","788"
"45-49",""
"Female","786"
"Male","721"
"50-54",""
"Female","630"
"Male","710"
"55-59",""
"Female","451"
"Male","484"
"5-9",""
"Female","2057"
"Male","2117"
"60-64",""
"Female","464"
"Male","445"
"65-69",""
"Female","340"
"Male","364"
"70-74",""
"Female","241"
"Male","308"
"75+",""
"Female","269"
"Male","265"
