"Number of households by type of outer wall","Number"
"BambooWall","523"
"Cement Bonded Bricks/Stone Wall","3516"
"Mud Bonded Bricks/Stone Wall","1687"
"Not stated","38"
"Others","307"
"Unbaked Bricks","33"
"Wood/Planks","41"
"Total","6145"
