"Population by Five Years Age Group","Number"
"0-4",""
"Female","528"
"Male","550"
"10-14",""
"Female","770"
"Male","774"
"15-19",""
"Female","771"
"Male","704"
"20-24",""
"Female","561"
"Male","418"
"25-29",""
"Female","429"
"Male","321"
"30-34",""
"Female","356"
"Male","246"
"35-39",""
"Female","314"
"Male","272"
"40-44",""
"Female","351"
"Male","288"
"45-49",""
"Female","331"
"Male","279"
"50-54",""
"Female","323"
"Male","261"
"55-59",""
"Female","270"
"Male","255"
"5-9",""
"Female","735"
"Male","723"
"60-64",""
"Female","214"
"Male","217"
"65-69",""
"Female","183"
"Male","182"
"70-74",""
"Female","152"
"Male","133"
"75+",""
"Female","163"
"Male","151"
