"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","8"
"Cow Dung","0"
"Electricity","0"
"Kerosene","8"
"LP Gas","1"
"Not stated","5"
"Others","0"
"Wood/Firewood","3614"
"Total","3636"
