"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","8"
"Male","4"
"Brahman - Hill",""
"Female","340"
"Male","238"
"Chhetri",""
"Female","3917"
"Male","2862"
"Damai/Dholi",""
"Female","160"
"Male","137"
"Ghale",""
"Female","13"
"Male","16"
"Gharti/Bhujel",""
"Female","181"
"Male","136"
"Gurung",""
"Female","82"
"Male","61"
"Kami",""
"Female","533"
"Male","443"
"Magar",""
"Female","293"
"Male","237"
"Newar",""
"Female","1993"
"Male","1809"
"Others",""
"Female","19"
"Male","18"
"Sanyasi/Dasnami",""
"Female","20"
"Male","14"
"Sarki",""
"Female","8"
"Male","7"
"Sherpa",""
"Female","7"
"Male","8"
"Tamang",""
"Female","3321"
"Male","2780"
"Thami",""
"Female","17"
"Male","16"
