"Number of households by type of outer wall","Number"
"BambooWall","8993"
"Cement Bonded Bricks/Stone Wall","7502"
"Mud Bonded Bricks/Stone Wall","1382"
"Not Stated about Wall","370"
"Other Type Wall","108"
"Unbaked Bricks","43"
"Wood/Planks","291"
"Total","18689"
