"Population by Caste/Ethinicity","Number"
"Bangali",""
"Female","6"
"Male","16"
"Bhote",""
"Female","42"
"Male","38"
"Brahman - Hill",""
"Female","4844"
"Male","4736"
"Chamling",""
"Female","6"
"Male","6"
"Chhetri",""
"Female","4966"
"Male","4426"
"Dalit Others",""
"Female","9"
"Male","10"
"Damai/Dholi",""
"Female","522"
"Male","482"
"Dhimal",""
"Female","7"
"Male","6"
"Gharti/Bhujel",""
"Female","124"
"Male","122"
"Gurung",""
"Female","1129"
"Male","915"
"Hajam/Thakur",""
"Female","21"
"Male","31"
"Halwai",""
"Female","25"
"Male","26"
"Hyolmo",""
"Female","14"
"Male","10"
"Kami",""
"Female","973"
"Male","942"
"Lepcha",""
"Female","84"
"Male","72"
"Limbu",""
"Female","3080"
"Male","2932"
"Lohar",""
"Female","18"
"Male","18"
"Magar",""
"Female","810"
"Male","743"
"Marwadi",""
"Female","30"
"Male","30"
"Musahar",""
"Female","7"
"Male","6"
"Musalman",""
"Female","16"
"Male","44"
"Newar",""
"Female","1232"
"Male","1184"
"Others",""
"Female","65"
"Male","62"
"Pattharkatta/ Kushwadiya",""
"Female","50"
"Male","51"
"Rai",""
"Female","3911"
"Male","3646"
"Rajbansi",""
"Female","26"
"Male","25"
"Samgpang",""
"Female","12"
"Male","10"
"Sanyasi/Dasnami",""
"Female","44"
"Male","44"
"Sarki",""
"Female","237"
"Male","232"
"Sherpa",""
"Female","158"
"Male","151"
"Sunuwar",""
"Female","431"
"Male","434"
"Tamang",""
"Female","1712"
"Male","1576"
"Teli",""
"Female","18"
"Male","12"
"Terai Others",""
"Female","32"
"Male","34"
"Thakuri",""
"Female","22"
"Male","22"
"Thami",""
"Female","10"
"Male","7"
"Tharu",""
"Female","25"
"Male","35"
"Undefined Others",""
"Female","99"
"Male","100"
"Yadav",""
"Female","11"
"Male","9"
"Yakkha",""
"Female","234"
"Male","200"
"Yamphu",""
"Female","13"
"Male","16"
