"Number of households by type of outer wall","Number"
"BambooWall","1603"
"Cement Bonded Bricks/Stone Wall","2191"
"Mud Bonded Bricks/Stone Wall","6805"
"Not stated","149"
"Others","165"
"Unbaked Bricks","107"
"Wood/Planks","363"
"Total","11383"
