"Population by Single Year of Age","Number"
"0",""
"Female","331"
"Male","324"
"1",""
"Female","307"
"Male","285"
"10",""
"Female","537"
"Male","593"
"11",""
"Female","485"
"Male","541"
"12",""
"Female","580"
"Male","630"
"13",""
"Female","500"
"Male","594"
"14",""
"Female","576"
"Male","628"
"15",""
"Female","572"
"Male","524"
"16",""
"Female","578"
"Male","563"
"17",""
"Female","586"
"Male","576"
"18",""
"Female","650"
"Male","576"
"19",""
"Female","488"
"Male","439"
"2",""
"Female","304"
"Male","327"
"20",""
"Female","610"
"Male","505"
"21",""
"Female","479"
"Male","391"
"22",""
"Female","646"
"Male","497"
"23",""
"Female","554"
"Male","447"
"24",""
"Female","502"
"Male","402"
"25",""
"Female","569"
"Male","429"
"26",""
"Female","487"
"Male","414"
"27",""
"Female","479"
"Male","407"
"28",""
"Female","482"
"Male","445"
"29",""
"Female","367"
"Male","302"
"3",""
"Female","299"
"Male","359"
"30",""
"Female","601"
"Male","436"
"31",""
"Female","341"
"Male","257"
"32",""
"Female","416"
"Male","369"
"33",""
"Female","289"
"Male","288"
"34",""
"Female","304"
"Male","296"
"35",""
"Female","491"
"Male","371"
"36",""
"Female","381"
"Male","318"
"37",""
"Female","250"
"Male","230"
"38",""
"Female","341"
"Male","309"
"39",""
"Female","242"
"Male","227"
"4",""
"Female","390"
"Male","449"
"40",""
"Female","457"
"Male","429"
"41",""
"Female","225"
"Male","200"
"42",""
"Female","332"
"Male","320"
"43",""
"Female","295"
"Male","252"
"44",""
"Female","219"
"Male","240"
"45",""
"Female","346"
"Male","340"
"46",""
"Female","263"
"Male","231"
"47",""
"Female","204"
"Male","235"
"48",""
"Female","251"
"Male","282"
"49",""
"Female","191"
"Male","171"
"5",""
"Female","419"
"Male","487"
"50",""
"Female","331"
"Male","333"
"51",""
"Female","190"
"Male","195"
"52",""
"Female","240"
"Male","262"
"53",""
"Female","197"
"Male","195"
"54",""
"Female","168"
"Male","171"
"55",""
"Female","236"
"Male","249"
"56",""
"Female","204"
"Male","201"
"57",""
"Female","134"
"Male","166"
"58",""
"Female","162"
"Male","188"
"59",""
"Female","118"
"Male","140"
"6",""
"Female","457"
"Male","501"
"60",""
"Female","233"
"Male","207"
"61",""
"Female","133"
"Male","123"
"62",""
"Female","139"
"Male","151"
"63",""
"Female","104"
"Male","136"
"64",""
"Female","112"
"Male","117"
"65",""
"Female","134"
"Male","144"
"66",""
"Female","89"
"Male","91"
"67",""
"Female","95"
"Male","89"
"68",""
"Female","110"
"Male","141"
"69",""
"Female","57"
"Male","71"
"7",""
"Female","519"
"Male","556"
"70",""
"Female","89"
"Male","106"
"71",""
"Female","42"
"Male","57"
"72",""
"Female","67"
"Male","79"
"73",""
"Female","58"
"Male","72"
"74",""
"Female","41"
"Male","55"
"75",""
"Female","57"
"Male","68"
"76",""
"Female","48"
"Male","46"
"77",""
"Female","48"
"Male","53"
"78",""
"Female","51"
"Male","69"
"79",""
"Female","20"
"Male","16"
"8",""
"Female","547"
"Male","521"
"80",""
"Female","37"
"Male","30"
"81",""
"Female","24"
"Male","20"
"82",""
"Female","22"
"Male","26"
"83",""
"Female","20"
"Male","17"
"84",""
"Female","14"
"Male","29"
"85",""
"Female","65"
"Male","63"
"9",""
"Female","513"
"Male","500"
