"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","43"
"Mud Roof","0"
"Not Sated Roof","52"
"Other Type of Roof","31"
"RCC Roof","1400"
"Thatch/Straw Roof","642"
"Tile/Slate Roof","4299"
"Wood/Planks Roof","23"
"Total","6490"
