"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","862"
"Male","820"
"","1682"
"Chhetri",""
"Female","4161"
"Male","4209"
"","8370"
"Dalit Others",""
"Female","22"
"Male","15"
"","37"
"Damai/Dholi",""
"Female","189"
"Male","182"
"","371"
"Gharti/Bhujel",""
"Female","31"
"Male","31"
"","62"
"Kami",""
"Female","503"
"Male","462"
"","965"
"Lohar",""
"Female","188"
"Male","171"
"","359"
"Musalman",""
"Female","25"
"Male","24"
"","49"
"Others",""
"Female","7"
"Male","8"
"","15"
"Sarki",""
"Female","340"
"Male","366"
"","706"
"Thakuri",""
"Female","298"
"Male","302"
"","600"
