"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","5566"
"Mud Roof","0"
"Not Sated Roof","1482"
"Other Type of Roof","448"
"RCC Roof","53326"
"Thatch/Straw Roof","21423"
"Tile/Slate Roof","8216"
"Wood/Planks Roof","803"
"Total","91264"
