"Number of households by type of outer wall","Number"
"BambooWall","9703"
"Cement Bonded Bricks/Stone Wall","28556"
"Mud Bonded Bricks/Stone Wall","38966"
"Not Stated about Wall","1437"
"Other Type Wall","7234"
"Unbaked Bricks","1341"
"Wood/Planks","4027"
"Total","91264"
