"Agricultural land use area","Hectare"
"Area under arable land","60525.00"
"Area under meadows and pasture","30.00"
"Area under permanent crops","1467.00"
"Area under Temporary crops","59908.00"
"Area under temporary fallow","344.00"
"Area under temporary meadows","273.00"
"Other land","2248.00"
"Ponds","108.00"
"Woodland and forest","200.00"
"Total","125103.00"
