"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","3106"
"Cow Dung","29890"
"Electricity Fuel","17"
"KeroseneFuel","1089"
"LP Gas","6654"
"Not Sated about Fuel","779"
"OthersFuel","168"
"Wood/FireWood","49561"
"Total","91264"
