"Number of households by type of outer wall","Number"
"BambooWall","2946"
"Cement Bonded Bricks/Stone Wall","550"
"Mud Bonded Bricks/Stone Wall","1759"
"Not stated","83"
"Others","93"
"Unbaked Bricks","216"
"Wood/Planks","121"
"Total","5768"
