"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","12"
"Cow Dung","2770"
"Electricity","0"
"Kerosene","130"
"LP Gas","16"
"Not stated","75"
"Others","483"
"Wood/Firewood","2282"
"Total","5768"
