"Population by Five Years Age Group","Number"
"0-4",""
"Female","3015"
"Male","2887"
"10-14",""
"Female","2865"
"Male","2900"
"15-19",""
"Female","1728"
"Male","1762"
"20-24",""
"Female","1503"
"Male","1220"
"25-29",""
"Female","1555"
"Male","1291"
"30-34",""
"Female","1329"
"Male","1187"
"35-39",""
"Female","1164"
"Male","1130"
"40-44",""
"Female","921"
"Male","926"
"45-49",""
"Female","718"
"Male","775"
"50-54",""
"Female","562"
"Male","628"
"55-59",""
"Female","535"
"Male","501"
"5-9",""
"Female","3459"
"Male","3627"
"60-64",""
"Female","515"
"Male","550"
"65-69",""
"Female","409"
"Male","440"
"70-74",""
"Female","289"
"Male","343"
"75+",""
"Female","188"
"Male","214"
