"Population by Five Years Age Group","Number"
"0-4",""
"Female","744"
"Male","761"
"10-14",""
"Female","859"
"Male","817"
"15-19",""
"Female","805"
"Male","637"
"20-24",""
"Female","536"
"Male","323"
"25-29",""
"Female","508"
"Male","300"
"30-34",""
"Female","399"
"Male","231"
"35-39",""
"Female","398"
"Male","305"
"40-44",""
"Female","358"
"Male","238"
"45-49",""
"Female","361"
"Male","265"
"50-54",""
"Female","337"
"Male","292"
"55-59",""
"Female","247"
"Male","260"
"5-9",""
"Female","785"
"Male","724"
"60-64",""
"Female","327"
"Male","256"
"65-69",""
"Female","180"
"Male","182"
"70-74",""
"Female","221"
"Male","189"
"75+",""
"Female","197"
"Male","222"
