"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","25350"
"Mud Roof","0"
"Not Sated Roof","2500"
"Other Type of Roof","624"
"RCC Roof","100815"
"Thatch/Straw Roof","14665"
"Tile/Slate Roof","19440"
"Wood/Planks Roof","441"
"Total","163835"
