"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","595"
"Christianity","84"
"Hindu","20598"
"Islam","4"
"Jainism","0"
"Kirat","0"
"Prakriti","14"
"Sikhism","0"
"Undefined","1"
"Total","21296"
