"Population by Five Years Age Group","Number"
"0-4",""
"Female","1752"
"Male","1818"
"10-14",""
"Female","1944"
"Male","1936"
"15-19",""
"Female","1360"
"Male","1173"
"20-24",""
"Female","971"
"Male","690"
"25-29",""
"Female","908"
"Male","661"
"30-34",""
"Female","712"
"Male","506"
"35-39",""
"Female","694"
"Male","542"
"40-44",""
"Female","551"
"Male","407"
"45-49",""
"Female","432"
"Male","371"
"50-54",""
"Female","347"
"Male","315"
"55-59",""
"Female","284"
"Male","275"
"5-9",""
"Female","1993"
"Male","2043"
"60-64",""
"Female","371"
"Male","266"
"65-69",""
"Female","306"
"Male","217"
"70-74",""
"Female","275"
"Male","169"
"75+",""
"Female","242"
"Male","197"
