"Population by Caste Ethinicity","Number"
"Badi",""
"Female","87"
"Male","76"
"","163"
"Brahman - Hill",""
"Female","843"
"Male","720"
"","1563"
"Chhetri",""
"Female","2600"
"Male","2170"
"","4770"
"Dalit Others",""
"Female","136"
"Male","101"
"","237"
"Damai/Dholi",""
"Female","352"
"Male","288"
"","640"
"Gurung",""
"Female","414"
"Male","321"
"","735"
"Kami",""
"Female","1559"
"Male","1359"
"","2918"
"Magar",""
"Female","1556"
"Male","1486"
"","3042"
"Marwadi",""
"Female","8"
"Male","3"
"","11"
"Others",""
"Female","22"
"Male","12"
"","34"
"Sanyasi/Dasnami",""
"Female","217"
"Male","211"
"","428"
"Sarki",""
"Female","457"
"Male","359"
"","816"
"Thakuri",""
"Female","2093"
"Male","1827"
"","3920"
