"Number of households by type of outer wall","Number"
"BambooWall","470"
"Cement Bonded Bricks/Stone Wall","293"
"Mud Bonded Bricks/Stone Wall","30711"
"Not stated","322"
"Others","61"
"Unbaked Bricks","325"
"Wood/Planks","284"
"Total","32466"
