"Agricultural land use area","Hectare"
"Area under arable land","19802.55"
"Area under meadows and pasture","125.22"
"Area under permanent crops","4268.15"
"Area under Temporary crops","19038.80"
"Area under temporary fallow","681.38"
"Area under temporary meadows","82.36"
"Other land","875.24"
"Ponds","0.14"
"Woodland and forest","3475.63"
