"Population by Single Year of Age","Number"
"0",""
"Female","1276"
"Male","1381"
"1",""
"Female","1253"
"Male","1302"
"10",""
"Female","2138"
"Male","2136"
"11",""
"Female","1872"
"Male","1846"
"12",""
"Female","2279"
"Male","2330"
"13",""
"Female","2116"
"Male","2041"
"14",""
"Female","2267"
"Male","2038"
"15",""
"Female","2191"
"Male","2027"
"16",""
"Female","2041"
"Male","1877"
"17",""
"Female","2010"
"Male","1740"
"18",""
"Female","2069"
"Male","1663"
"19",""
"Female","1387"
"Male","977"
"2",""
"Female","1376"
"Male","1401"
"20",""
"Female","1517"
"Male","995"
"21",""
"Female","1321"
"Male","804"
"22",""
"Female","1670"
"Male","899"
"23",""
"Female","1110"
"Male","682"
"24",""
"Female","1152"
"Male","777"
"25",""
"Female","1418"
"Male","862"
"26",""
"Female","1056"
"Male","673"
"27",""
"Female","1039"
"Male","690"
"28",""
"Female","1124"
"Male","759"
"29",""
"Female","596"
"Male","489"
"3",""
"Female","1393"
"Male","1381"
"30",""
"Female","1539"
"Male","939"
"31",""
"Female","520"
"Male","443"
"32",""
"Female","994"
"Male","695"
"33",""
"Female","611"
"Male","484"
"34",""
"Female","632"
"Male","494"
"35",""
"Female","1575"
"Male","986"
"36",""
"Female","795"
"Male","560"
"37",""
"Female","607"
"Male","511"
"38",""
"Female","801"
"Male","660"
"39",""
"Female","614"
"Male","463"
"4",""
"Female","1590"
"Male","1645"
"40",""
"Female","1683"
"Male","1248"
"41",""
"Female","548"
"Male","477"
"42",""
"Female","879"
"Male","761"
"43",""
"Female","636"
"Male","536"
"44",""
"Female","597"
"Male","524"
"45",""
"Female","1244"
"Male","1010"
"46",""
"Female","642"
"Male","515"
"47",""
"Female","568"
"Male","548"
"48",""
"Female","760"
"Male","692"
"49",""
"Female","550"
"Male","535"
"5",""
"Female","1774"
"Male","1628"
"50",""
"Female","1321"
"Male","1107"
"51",""
"Female","553"
"Male","521"
"52",""
"Female","684"
"Male","739"
"53",""
"Female","417"
"Male","471"
"54",""
"Female","471"
"Male","385"
"55",""
"Female","799"
"Male","743"
"56",""
"Female","479"
"Male","471"
"57",""
"Female","512"
"Male","472"
"58",""
"Female","480"
"Male","488"
"59",""
"Female","406"
"Male","380"
"6",""
"Female","1624"
"Male","1703"
"60",""
"Female","1044"
"Male","837"
"61",""
"Female","435"
"Male","369"
"62",""
"Female","487"
"Male","465"
"63",""
"Female","318"
"Male","332"
"64",""
"Female","329"
"Male","311"
"65",""
"Female","705"
"Male","535"
"66",""
"Female","274"
"Male","263"
"67",""
"Female","429"
"Male","420"
"68",""
"Female","395"
"Male","450"
"69",""
"Female","161"
"Male","226"
"7",""
"Female","1807"
"Male","1763"
"70",""
"Female","710"
"Male","583"
"71",""
"Female","180"
"Male","221"
"72",""
"Female","359"
"Male","316"
"73",""
"Female","205"
"Male","236"
"74",""
"Female","150"
"Male","181"
"75",""
"Female","420"
"Male","318"
"76",""
"Female","142"
"Male","150"
"77",""
"Female","211"
"Male","164"
"78",""
"Female","245"
"Male","232"
"79",""
"Female","91"
"Male","97"
"8",""
"Female","1791"
"Male","1936"
"80",""
"Female","307"
"Male","216"
"81",""
"Female","84"
"Male","77"
"82",""
"Female","88"
"Male","102"
"83",""
"Female","83"
"Male","91"
"84",""
"Female","86"
"Male","87"
"85",""
"Female","388"
"Male","374"
"9",""
"Female","1797"
"Male","1731"
