"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","10"
"Cow Dung","6"
"Electricity Fuel","6"
"KeroseneFuel","149"
"LP Gas","1057"
"Not Sated about Fuel","28"
"OthersFuel","50"
"Wood/FireWood","6141"
"Total","7447"
