"Population by Mother tongue","Number"
"Baitadeli",""
"Female","28"
"Male","26"
"","54"
"Bangla",""
"Female","6"
"Male","5"
"","11"
"Bhojpuri",""
"Female","4"
"Male","11"
"","15"
"Doteli",""
"Female","15739"
"Male","12520"
"","28259"
"Hindi",""
"Female","21"
"Male","53"
"","74"
"Magar",""
"Female","25"
"Male","31"
"","56"
"Maithili",""
"Female","46"
"Male","90"
"","136"
"Nepali",""
"Female","1937"
"Male","2094"
"","4031"
"Newar",""
"Female","23"
"Male","24"
"","47"
"Not Reported",""
"Female","11"
"Male","8"
"","19"
"Others",""
"Female","34"
"Male","48"
"","82"
"Tamang",""
"Female","4"
"Male","8"
"","12"
"Tharu",""
"Female","49"
"Male","78"
"","127"
"Urdu",""
"Female","7"
"Male","11"
"","18"
