"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","635"
"Mud Roof","13"
"Not Sated Roof","72"
"Other Type of Roof","75"
"RCC Roof","825"
"Thatch/Straw Roof","109"
"Tile/Slate Roof","5715"
"Wood/Planks Roof","3"
"Total","7447"
