"Number of households by type of outer wall","Number"
"BambooWall","2339"
"Cement Bonded Bricks/Stone Wall","7581"
"Mud Bonded Bricks/Stone Wall","3664"
"Not Stated about Wall","151"
"Other Type Wall","1107"
"Unbaked Bricks","85"
"Wood/Planks","1038"
"Total","15965"
